fr;de;priority
à son égard;ihm gegenüber;1
abattre qc.;etw. fällen;1
abattre des arbres;Bäume fällen;1
abîmé;beschädigt;1
accumulateur;Energiespeicher;1
accumuler;ansammeln;1
acheminement;Transport;1
affectif;emotional;1
agrandir;vergrößern;1
aimer qc.;etw. mögen;1
aîné;Ältester;1
aller dans Paris;nach Paris hineinfahren;1
aller en avion;mit dem Flugzeug fliegen;1
aller en cure;zur Kur fahren;1
âme;Seele;1
aménagement;Anlage;1
amortissement;Amortisation;1
apporter du caractère;Charakter verleihen;1
apprendre sur le tas;learning by doing;1
arabesque;Arabeske;1
arbitre;Schiedsrichter;1
arbre généalogique;Stammbaum;1
arbuste;Strauch;1
argent;Silber;1
argenterie;Silberbesteck;1
arpenter;schlendern;1
artisanal;handwerklich;1
atteindre;erreichen;1
attente;Erwartung;1
atterrir;landen;1
atterrissage;Landung;1
au bord de qc.;am Ufer von etw.;1
au bord du Rhin;am Rheinufer;1
au fil des années;im Lauf der Jahre;1
au lieu de;anstatt;1
au mois d’octobre;im Oktober;1
Au sol, le traçage des voies interpelle;Die Markierung der Fahrbahnen fällt auf;1
aulne;Erle;1
automobiliste;Autofahrer;1
autrui;Mitmensch;1
avant même que + subj.;noch bevor + verb;1
avec ferveur;leidenschaftlich;1
aveu confidentiel;vertrauliche Geständnis;1
avis appuyé;nachdrückliche Meinung;1
avis de décès;Todesanzeige;1
avoir du mal à faire qc.;Schwierigkeiten haben, etw. zu tun;1
avoir le cafard;schlecht drauf sein;1
avoir mal à s’en passer;schwer darauf verzichten können;1
bagages;Gepäck;1
bagarre;Schlägerei;1
bague;Ring;1
barque;Boot;1
barrage;Sperre;1
bavardage;Plauderei;1
biberon;Fläschchen;1
bien s’entendre avec qn.;sich gut mit jmdm. verstehen;1
bilan économique;wirtschaftliche Bilanz;1
billet;Geldschein;1
billet;Ticket;1
blâmer;beschuldigen;1
bon marché;billig;1
bondé;überfüllt;1
borne de recharge;Ladestation;1
bosse;Bodenwelle;1
bottes de ski;Skischuhe;1
bouchon;Korken;1
bouchon;Stau;2
boucles;Locken;1
boue;Schlamm;1
bouleau;Birke;1
boum;Party;1
braderie;Trödelmarkt (Nordfrankreich);1
brocante;Dachbodenflohmarkt;1
brouillon;Entwurf;1
brut;roh, naturbelassen, trocken;1
Ça nous arrange bien.;Das passt uns gut.;1
Ça y fait quand il y a moins de voitures.;Das macht etwas aus, wenn weniger Autos unterwegs sind.;1
cabas;Einkaufstasche;1
cabas en toile;Stofftasche;1
cabinet;Praxis;1
cadet;Jüngster;1
cadre;leitende Angestellte;1
cafard;Kakerlake;1
cafter;petzen;1
cafteuse;Petze;1
camping;Camping;1
camping;Campen;1
camping-car;Wohnmobil;1
canon à neige;Schneekanone;1
cargaison;Ladung;1
cargaison;Fracht;1
carrelage;Kachel;1
casque;Kopfhörer (Over-Ear);1
casquette;Helm;1
céder à une tentation;einer Versuchung erliegen;1
celte;keltisch;1
cerisier;Kirschbaum;1
challenger une réponse;eine Antwort hinterfragen;1
changement climatique;Klimawandel;1
changer de place;den Platz wechseln;1
changer de sujet;das Thema wechseln;1
chantier;Baustelle;1
chapelle;Kapelle;1
chauffe eau instantané;Durchlauferhitzer;1
chêne;Eiche;1
chiffre d’affaires;Umsatz;1
chuchoter;flüstern;1
chute de pierres;Steinschlag;1
cible;Zielgruppe;1
cigogne;Storch;1
Coccinelle;VW-Käfer;1
coin;Ecke;1
colline;Hügel;1
combler;erfüllen / ausgleichen;1
complaisant;nachsichtig;1
complicité;Vertrautheit;1
confident / confidente;Vertraute;1
confinement;Lockdown;1
confondre qc.;etw. verwechseln;1
conseiller / conseillère de vie;Lebensberater/in;1
convivialité;Geselligkeit;1
couche;Schicht;1
coucher de soleil;Sonnenuntergang;1
coupure;Geldschein;1
coupure d’électricité;Stromausfall;1
couronne (d’un arbre);Baumkrone;1
cours de français;Französischkurs;1
couteau;Messer;1
couvert;Besteck;1
crèche;Kinderkrippe;1
crevant;anstrengend;1
crier dessus qn.;jmdn. anschreien;1
Crit’Air;Crit’Air-Plakette;1
croiser qn.;jmdm. begegnen;1
cuillère;Löffel;1
cycliste;Radfahrer;1
d’autrefois;von früher;1
damage;Präparierung;1
dameuse;Pistenraupe;1
dans la rue;auf der Straße;1
dans le centre;im Zentrum;1
davantage de;mehr von;1
débloquer;entsperren;1
déborder;über die Ufer treten;1
début;Anfang;1
décollage;Start;1
décoller;abheben;1
dégât;Schaden;1
dégoûtant;ekelhaft;1
démarrer;starten;1
demeurer;wohnen / bleiben;1
demi-frère / demie-sœur;Halbbruder / Halbschwester;1
déneiger;Schnee räumen;1
dénivelé;Höhenunterschied;1
dès que;sobald;1
désert;Wüste;1
désinfecter qc.;etw. desinfizieren;1
désinhibé;hemmungslos;1
détendre les liens;Bindungen lockern;1
discussion vive;heftige Diskussion;1
dissimuler;verbergen / tarnen;1
distinguer qc.;etw. erkennen / unterscheiden;1
dot;Mitgift;1
double/triple vitrage;Doppel-/Dreifachverglasung;1
doubler;überholen;1
drap;Bettlaken;1
dresser un constat;eine Feststellung machen;1
dû à;aufgrund von;1
du moins;wenigstens;1
dur;schwer, hart;1
ébrécher;angeschlagen;1
écouteurs;In-Ear-Kopfhörer;1
éducation;Erziehung;1
éduquer;erziehen;1
effacement;Entfernung;1
égal / égaux;gleich;1
embellir;verschönern;1
embrumé;neblig;1
emprunté;gehemmt;1
émulation;Wettstreit;1
en abondance;im Überfluss;1
en Bavière;in Bayern;1
en Croatie;in Kroatien;1
en Grèce;in Griechenland;1
en vigueur;in Kraft;1
encombré;zugeparkt / blockiert;1
enlever des arbres;Bäume entfernen;1
enlever qc.;etw. entfernen / wegnehmen;1
enquêteur;Ermittler;1
entendre dire;gehört haben, dass;1
entraide;gegenseitige Hilfe;1
entretenir;pflegen / unterhalten;1
entretien;Gespräch;1
entretien d’embauche;Bewerbungsgespräch;1
éolienne;Windkraftanlage;1
épaisseur;Dicke;1
épanchement;Gefühlsausbruch;1
épicéa;Fichte;1
épopée;Epos;1
équilibrer;ausgleichen;1
érable;Ahorn;1
esthétique;ästhetisch;1
estuaire;Mündung;1
étaler qc. sur l’année;über das Jahr verteilen;1
être dans le déni;etw. leugnen;1
être en rénovation;renoviert werden;1
être le/la bienvenue;willkommen sein;1
être muni de qc.;etw. bei sich haben;1
être prématuré;frühgeboren sein;1
évoquer;erwähnen, ins Gedächtnis rufen;1
examen;Prüfung;1
exposition;Ausstellung;1
extension;Erweiterung;1
fâché;verärgert;1
faïence;Steingut;1
faire de la luge;Schlitten fahren;1
faire des appels de phare;Lichthupe geben;1
faire des randonnées;wandern;1
faire figure de bon élève;als Musterschüler gelten;1
faire la poussière;Staub wischen;1
faire la route;die Strecke zurücklegen;1
faire le malade;krank spielen;1
faire perdurer qc.;etw. fortbestehen lassen;1
fatigant;ermüdend;1
faux jumeaux;zweieiige Zwillinge;1
fédéralisme;Föderalismus;1
fiévreusement;fieberhaft;1
filet;Netz;1
fils/fille unique;Einzelkind;1
fissure;Riss;1
flics;Bullen (Polizei);1
fluide;flüssig (Verkehr);1
fondre;schmelzen;1
forage;Bohrung;1
forêt mixte;Mischwald;1
fourchette;Gabel;1
fournir;liefern;1
franc / franche;offen / ehrlich;1
franchise;Ehrlichkeit;1
fratrie;Geschwister;1
frein;Bremse;1
frigidaire;Kühlschrank;1
frisson;Kribbeln;1
