lesson;id;sid;fr;de
1;1;1;Je vais m'inscrire à un cours de français.;Ich melde mich zu einem Französischkurs an.
1;2;2;Il y avait une manifestation dans la rue principale.;In der Hauptstraße gab es eine Demonstration.
1;3;3;Il faut désinfecter la plaie.;Man muss die Wunde desinfizieren.
1;4;4;Le frigidaire est plein de légumes.;Der Kühlschrank ist voller Gemüse.
1;5;5;Nous faisons du camping au bord du lac.;Wir machen Camping am See.
1;6;6;J'ai oublié mon sac de couchage.;Ich habe meinen Schlafsack vergessen.
1;7;7;C'est une région viticole.;Das ist eine Weinbauregion.
1;8;8;Nous aimons faire des randonnées en montagne.;Wir gehen gern in den Bergen wandern.
1;9;9;On peut randonner dans le parc naturel.;Man kann im Naturpark wandern.
1;10;10;Au cours de leur randonnée, ils ont parcouru un bon nombre de mètres de dénivelé.;Während ihrer Wanderung haben sie ordentlich viele Meter Höhenunterschied zurückgelegt.
1;11;11;Nous avons visité une petite chapelle.;Wir haben eine kleine Kapelle besichtigt.
1;12;12;J'habite en Bavière.;Ich wohne in Bayern.
1;13;13;Cette ville est une station thermale célèbre.;Diese Stadt ist ein bekannter Kurort.
1;14;14;Ma grand-mère est allée en cure.;Meine Oma ist zur Kur gefahren.
1;15;15;Le voyage était crevant.;Die Reise war anstrengend.
1;16;16;C'est un travail très fatigant.;Das ist eine sehr ermüdende Arbeit.
1;17;17;L'examen était très dur.;Die Prüfung war sehr schwer.
1;18;18;Il a joué un rôle important.;Er hat eine wichtige Rolle gespielt.
1;19;19;Ce repas est dégoûtant.;Dieses Essen ist ekelhaft.
1;20;20;La maison est sur une colline.;Das Haus liegt auf einem Hügel.
1;21;21;Il porte une sacoche en cuir.;Er trägt eine Ledertasche.
1;22;22;J'ai perdu mes bagages à l'aéroport.;Ich habe mein Gepäck am Flughafen verloren.
1;23;23;Il a dû pousser son vélo en montée.;Er musste sein Rad bergauf schieben.
1;24;24;La voiture roule vite.;Das Auto fährt schnell.
1;25;25;Le frein de mon vélo ne marche pas.;Meine Fahrradbremse funktioniert nicht.
1;26;26;Il faut porter un casque à vélo.;Beim Radfahren muss man einen Helm tragen.
1;27;27;Il porte une casquette bleue.;Er trägt eine blaue Kappe.
1;28;28;Ce sac est très lourd.;Diese Tasche ist sehr schwer.
1;29;29;Ce tissu est très léger.;Dieser Stoff ist sehr leicht.
1;31;31;Les aménagements du parc sont modernes.;Die Anlagen des Parks sind modern.
1;32;32;L'estuaire de la Loire est magnifique.;Die Mündung der Loire ist wunderschön.
1;33;33;Je vais en Grèce cet été.;Ich fahre diesen Sommer nach Griechenland.
1;34;34;Elle est grecque.;Sie ist Griechin.
1;36;36;Le musée est en rénovation.;Das Museum wird gerade renoviert.
1;37;37;La pâte d'amandes est sucrée.;Marzipan ist süß.
1;38;38;Ils voyagent en camping-car.;Sie reisen mit dem Wohnmobil.
1;39;39;La plage était bondée.;Der Strand war überfüllt.
1;40;40;Nous avons une maison sur la côte.;Wir haben ein Haus an der Küste.
1;41;41;Nous allons en avion à Paris.;Wir fliegen nach Paris.
1;42;42;L'hôtel est dans le centre-ville.;Das Hotel ist im Stadtzentrum
1;43;43;L'enquêteur cherche des indices.;Der Ermittler sucht nach Hinweisen.
1;44;44;Le Sahara est un grand désert.;Die Sahara ist eine große Wüste.
1;45;45;Le vol de l'avion a été retardé.;Der Flug wurde verspätet.
1;46;46;Il y a une exposition d'art au musée.;Es gibt eine Kunstausstellung im Museum
1;47;47;Ce tableau est de Picasso.;Dieses Gemälde ist von Picasso.
1;48;48;J'aime le design scandinave.;Ich mag skandinavisches Design.
1;49;49;Le parquet est en chêne.;Das Parkett ist aus Eiche.
1;50;50;Le sol est en parquet flottant.;Der Boden ist aus Laminat.
1;51;51;Cette table est en chêne.;Der Tisch ist aus Eiche.
1;52;52;L'aulne pousse au bord des rivières.;Erlen wachsen oft an Flüssen.
1;53;53;Le hêtre est un bois dur.;Buche ist ein Hartholz.
1;54;54;Le pin est un arbre résineux.;Die Kiefer ist ein Nadelbaum
1;55;55;L'érable donne du sirop.;Aus dem Ahorn gewinnt man Sirup.
1;56;56;L'épicéa est un arbre commun en Europe.;Die Fichte ist ein häufiger Baum in Europa.
1;57;57;Le pin parasol pousse dans le Sud.;Die Pinie wächst im Süden.
1;58;58;Le bouleau a une écorce blanche.;Die Birke hat weiße Rinde.
1;59;59;Le cerisier fleurit au printemps.;Der Kirschbaum blüht im Frühling.
1;60;60;Cette armoire est en merisier.;Dieser Schrank ist aus Kirschholz.
1;61;61;C'est un mélange de couleurs.;Das ist eine Farbmischung.
1;62;62;J'ai acheté un vase au marché aux puces.;Ich habe eine Vase auf dem Flohmarkt gekauft.
1;63;63;La vaisselle est propre.;Das Geschirr ist sauber.
1;64;64;Quelle est la marque de cette voiture ?;Welche Marke hat dieses Auto?
1;65;65;Ces chaussures sont bon marché.;Diese Schuhe sind billig.
1;66;66;C'est meilleur marché que chez eux.;Das ist günstiger als bei ihnen.
1;67;67;La TVA en France est de 20 %.;Die Mehrwertsteuer in Frankreich beträgt 20 %.
1;68;68;Il y avait une pancarte devant la boutique.;Vor dem Laden hing ein Schild.
1;69;69;J'ai trouvé une vieille lampe à la brocante.;Ich habe eine alte Lampe auf dem Flohmarkt gefunden.
1;70;70;Le village organise un vide-greniers dimanche.;Das Dorf organisiert am Sonntag einen Dachbodenflohmarkt.
1;71;71;Dès que j'arrive, je t'appelle.;Sobald ich ankomme, rufe ich dich an.
1;72;72;Son regard s'illumine quand il parle de musique.;Sein Blick hellt sich auf, wenn er über Musik spricht.
1;73;73;Ses yeux brillent de joie.;Seine Augen glänzen vor Freude.
1;74;74;Elle écrit fiévreusement dans son carnet.;Sie schreibt fieberhaft in ihr Notizbuch.
1;75;75;C'est un souvenir lointain de mon enfance.;Das ist eine ferne Erinnerung aus meiner Kindheit.
1;76;76;Cette chaise est une belle trouvaille.;Dieser Stuhl ist ein schönes Fundstück.
1;77;77;Nous allons faire la route ensemble.;Wir werden die Strecke gemeinsam fahren.
1;78;78;Ils partent avant même que le soleil ne se lève.;Sie brechen auf, noch bevor die Sonne aufgeht.
1;79;79;Elle emporte toujours un cabas en toile au marché.;Sie bringt immer eine Stofftasche mit zum Markt.
1;80;80;J'ai pris un thermos de café.;Ich habe eine Thermoskanne Kaffee mitgenommen.
1;81;81;Il a payé avec un billet de 20 euros.;Er hat mit einem 20-Euro-Geldschein bezahlt.
1;82;82;Le ticket de caisse indique le lieu d'achat.;Der Kassenzettel zeigt den Kaufort.
1;83;83;Ils habitent à la périphérie de la ville.;Sie wohnen am Stadtrand.
1;84;84;Le marché est devenu un vrai phénomène culturel.;Der Markt ist zu einem echten kulturellen Phänomen geworden.
1;85;85;La nouvelle s'est rapidement répandue.;Die Nachricht hat sich schnell verbreitet.
1;86;86;Des milliers de personnes visitent le marché.;Tausende Menschen besuchen den Markt.
1;87;87;Nous nous retrouvons dans un coin tranquille.;Wir treffen uns in einer ruhigen Ecke.
1;88;88;Les enfants chuchotent dans la bibliothèque.;Die Kinder flüstern in der Bibliothek.
1;89;89;J'ai une assiette ébréchée.;Ich habe einen angeschlagenen Teller.
1;90;90;Il évoque souvent ses voyages.;Er erwähnt oft seine Reisen.
1;91;91;Cette maison a une âme.;Dieses Haus hat eine Seele.
1;92;92;L'horloge sonne midi.;Die Uhr schlägt zwölf.
1;93;93;La peinture commence à se patiner avec le temps.;Die Farbe bekommt mit der Zeit Patina.
1;94;94;Ce détail apporte du caractère à la pièce.;Dieses Detail verleiht dem Raum Charakter.
1;95;95;On plaisante toujours avec lui.;Mit ihm scherzt man immer.
1;96;96;Elle négocie avec ferveur sur le marché.;Sie handelt leidenschaftlich auf dem Markt.
1;97;97;Les vendeurs partagent volontiers des anecdotes sur leurs trésors.;Die Verkäufer erzählen gerne Anekdoten über ihre Schätze.
1;98;98;La convivialité est au cœur de cet événement.;Die Geselligkeit steht im Mittelpunkt dieser Veranstaltung.
1;99;99;Le temps semble suspendu au fil des conversations.;Die Zeit scheint während der Gespräche stillzustehen.
1;100;100;J'ai ressenti un frisson de joie.;Ich habe einen Freudenkribblen gespürt.
1;101;101;Elle s'assoit sur une chaise en rotin.;Sie setzt sich auf einen Rattanstuhl.
1;102;102;J'ai souri malgré moi.;Ich habe unwillkürlich gelächelt.
1;103;103;Peu à peu, une passion m'a gagnée.;Nach und nach hat mich eine Leidenschaft ergriffen.
1;104;104;Elle est rayonnante de bonheur.;Sie strahlt vor Glück.
1;105;105;Il a cédé à la tentation d'acheter ce tableau.;Er ist der Versuchung erlegen, das Bild zu kaufen.
1;106;106;Le paysage est embrumé ce matin.;Die Landschaft ist heute Morgen neblig.
1;107;107;J'ai perdu mon portefeuille.;Ich habe meine Brieftasche verloren.
1;108;108;Il a payé en petites coupures.;Er hat mit kleinen Scheinen bezahlt.
1;109;109;Ils arpentent les allées du marché.;Sie schlendern durch die Gänge des Marktes.
1;110;110;C'est un objet insolite.;Das ist ein ungewöhnlicher Gegenstand.
1;111;111;J'ai rapporté un souvenir de Paris.;Ich habe ein Souvenir aus Paris mitgebracht.
1;112;112;On ressent la magie du lieu.;Man spürt die Magie des Ortes.
2;113;113;Au fil des années, ils sont devenus amis.;Im Lauf der Jahre sind sie Freunde geworden.
2;114;114;Vous étiez en vacances quand je vous ai appelés.;Ihr wart im Urlaub, als ich euch anrief.
2;115;115;Nous passons nos vacances en Croatie.;Wir verbringen unsere Ferien in Kroatien.
2;116;116;Nous louons une maison de vacances au bord de la mer.;Wir mieten ein Ferienhaus am Meer.
2;117;117;Son attente d'une réponse rapide a été déçue.;Seine Erwartung auf eine schnelle Antwort wurde enttäuscht.
2;118;118;La réderie d'Amiens attire de nombreux visiteurs.;Der Flohmarkt von Amiens zieht viele Besucher an.
2;119;119;La braderie de Lille est très connue.;Die Flohmarkt in Lille ist sehr bekannt.
2;120;120;Le chiffre d'affaires a augmenté de 10 %.;Der Umsatz ist um 10 % gestiegen.
2;121;121;Elle emporte un cabas en toile au marché.;Sie bringt eine Einkaufstasche aus Stoff mit auf den Markt.
2;122;122;Le tissu de cette chemise est très doux.;Der Stoff dieses Hemdes ist sehr weich.
2;123;123;Ce vin est brut et sec.;Dieser Wein ist trocken.
2;124;124;Il faut ajouter de la levure à la pâte.;Man muss dem Teig Hefe hinzufügen.
