id;unit_id;fr;de;note;has_audio_fr;has_audio_de
1;1;Je [vais {m'inscrire à|#1}|{m'inscris à|#1}] un {cours de français|#2}.;Ich {melde mich zu|#4} einem {Französischkurs|#3} {an|#4}.;;true;true
2;1;Il y avait une {manifestation|#7} dans la {rue principale|#10}.;In der {Hauptstraße|#8} gab es eine {Demonstration|#9}.;;true;true
3;1;Il faut {désinfecter|#11} la {plaie|#12}.;Man muss die {Wunde|#13} {desinfizieren|#14}.;;true;true
4;1;Le {frigidaire|#18} est {plein de|#19} {légumes|#20}.;Der {Kühlschrank|#15} ist {voller|#16} {Gemüse|#17}.;;true;true
5;1;Nous faisons du {camping|#25} {au bord du|#26} {lac|#27}.;Wir machen {Camping|#28} {am|#29} {See|#30}.;;true;true
6;1;J’{ai oublié|#21} mon {sac de couchage|#53}.;Ich {habe|#22} meinen {Schlafsack|#54} {vergessen|#22}.;;true;true
7;1;C’est une {région viticole|#55}.;Das ist eine {Weinbauregion|#56}.;;true;true
8;1;Nous {aimons|#57} {faire des randonnées|#58} en montagne.;Wir {gehen|#59} gern in den Bergen {wandern|#59}.;;true;true
9;1;On peut {randonner|#61} dans le {parc naturel|#62}.;Man kann im {Naturpark|#63} {wandern|#60}.;;true;true
10;1;Au cours de leur {randonnée|#64}, ils ont parcouru un bon nombre de mètres de {dénivelé|#65}.;Während ihrer {Wanderung|#67} haben sie ordentlich viele Meter {Höhenunterschied|#66} zurückgelegt.;;true;true
11;1;Nous avons visité une petite {chapelle|#80}.;Wir haben eine kleine {Kapelle|#81} besichtigt.;;true;true
12;1;J’{habite|#82} {en Bavière|#83}.;Ich {wohne|#84} {in Bayern|#85}.;;true;true
13;1;Cette {ville|#86} est une {station thermale|#88} {célèbre|#87}.;Diese {Stadt|#90} ist ein {berühmter|#89} {Kurort|#91}.;;true;true
14;1;Ma {grand-mère|#92} est {allée en cure|#93}.;Meine {Oma|#94} ist {zur Kur gefahren|#95}.;;true;true
15;1;Le voyage était {crevant|#96}.;Die Reise war {anstrengend|#97}.;;true;true
16;1;C’est un {travail|#98} très {fatigant|#99}.;Das ist eine sehr {ermüdende|#100} {Arbeit|#101}.;;true;true
17;1;L’{examen|#102} était très {dur|#103}.;Die {Prüfung|#104} war sehr {schwer|#105}.;;true;true
18;1;Il a {joué un rôle|#106} important.;Er hat {eine|#107} wichtige {Rolle gespielt|#107}.;;true;true
19;1;Ce {repas|#109} est {dégoûtant|#108}.;Dieses {Essen|#110} ist {ekelhaft|#111}.;;true;true
20;1;La maison est sur une {colline|#122}.;Das Haus liegt auf einem {Hügel|#121}.;;true;true
21;1;Il porte une {sacoche|#123} en {cuir|#126}.;Er trägt eine {Umhängetasche|#124} aus {Leder|#125}.;;true;true
22;1;J’ai perdu mes {bagages|#378} à l’{aéroport|#379}.;Ich habe mein {Gepäck|#381} am {Flughafen|#380} verloren.;;true;true
23;1;Il a dû {pousser|#130} son vélo en montée.;Er musste sein Rad bergauf {schieben|#131}.;;true;true
24;1;La voiture {roule|#382} {vite|#383}.;Das Auto {fährt|#385} {schnell|#384}.;;true;true
25;1;Le {frein|#386} de mon {vélo|#422} ne marche pas.;Die {Bremse|#387} meines {Fahrrads|#423} funktioniert nicht.;;true;false
26;1;Il faut porter un {casque à vélo|#388}.;Beim Radfahren muss man einen {Fahrradhelm|#389} tragen.;;true;false
27;1;Il porte une {casquette|#390} bleue.;Er trägt eine blaue {Kappe|#391}.;;true;false
28;1;Ce {sac|#392} est très {lourd|#393}.;Diese {Tasche|#395} ist sehr {schwer|#105}.;;true;false
29;1;Ce {tissu|#396} est très {léger|#397}.;Dieser {Stoff|#398} ist sehr {leicht|#399}.;;true;false
31;1;Les {aménagements|#400} du parc sont {modernes|#401}.;Die {Anlagen|#402} des Parks sind {modern|#403}.;;true;false
32;1;L’{estuaire|#407} de la Loire est {magnifique|#406}.;Die {Mündung|#404} der Loire ist {wunderschön|#405}.;;true;false
33;1;Je vais {en Grèce|#441} cet été.;Ich fahre diesen Sommer {nach Griechenland|#440}.;;true;true
34;1;Elle est {grecque|#442}.;Sie ist {Griechin|#443}.;;true;true
36;1;Le musée {est en rénovation|#444}.;Das Museum {wird|#445} gerade {renoviert|#445}.;;true;true
37;1;La {pâte d'amandes|#446} est sucrée.;{Marzipan|#447} ist süß.;;true;true
38;1;Ils {voyagent|#455} en {camping-car|#452}.;Sie {reisen|#454} mit dem {Wohnmobil|#453}.;;true;true
39;1;La {plage|#448} était {bondée|#449}.;Der {Strand|#451} war {überfüllt|#450}.;;true;true
40;1;Nous avons une maison sur la {côte|#456}.;Wir haben ein Haus an der {Küste|#457}.;;true;true
41;1;Nous {allons en avion|#458} à Paris.;Wir {fliegen|#148} nach Paris.;;true;true
42;1;L'hôtel est dans le {centre-ville|#460}.;Das Hotel ist im {Stadtzentrum|#461}.;;true;true
43;1;L'{enquêteur|#464} cherche des {indices|#462}.;Der {Ermittler|#465} sucht nach {Hinweisen|#463}.;;true;true
44;1;Le Sahara est un grand {désert|#466}.;Die Sahara ist eine große {Wüste|#467}.;;true;true
45;1;Le {vol|#469} de l'avion a été {retardé|#468}.;Der {Flug|#470} wurde {verspätet|#471}.;;true;true
46;1;Il y a une {exposition|#472} d'art au {musée|#474}.;Es gibt eine {Kunstausstellung|#473} im {Museum|#475};;true;true
47;1;Ce {tableau|#119} est de Picasso.;Dieses {Gemälde|#477} ist von Picasso.;;true;true
48;1;J'aime le {design|#478} {scandinave|#480}.;Ich mag {skandinavisches|#481} {Design|#479}.;;true;true
49;1;Le {parquet|#508} est en {chêne|#506}.;Das {Parkett|#509} ist aus {Eiche|#507}.;;true;true
50;1;Le sol est en {parquet flottant|#526}.;Der Boden ist aus {Laminat|#527}.;;true;true
51;1;Cette table est en {chêne|#506}.;Der Tisch ist aus {Eiche|#507}.;;true;true
52;1;L'{aulne|#529} pousse au bord des {rivières|#528}.;{Erlen|#530} wachsen oft an {Flüssen|#531}.;;true;true
53;1;Le {hêtre|#535} est un {bois dur|#534}.;{Buche|#532} ist ein {Hartholz|#533}.;;true;true
54;1;Le {pin|#539} est un {arbre résineux|#538}.;Die {Kiefer|#536} ist ein {Nadelbaum|#537};;true;true
55;1;L'{érable|#540} donne du {sirop|#543}.;Aus dem {Ahorn|#541} gewinnt man {Sirup|#542}.;;true;true
56;1;L'{épicéa|#544} est un arbre {commun|#546} en Europe.;Die {Fichte|#545} ist ein {häufiger|#547} Baum in Europa.;;true;true
57;1;Le {pin parasol|#548} pousse {dans le Sud|#551}.;Die {Pinie|#549} wächst {im Süden|#550}.;;true;true
58;1;Le {bouleau|#552} a une {écorce|#553} blanche.;Die {Birke|#555} hat weiße {Rinde|#554}.;;true;true
59;1;Le {cerisier|#556} {fleurit|#558} {au printemps|#560}.;Der {Kirschbaum|#557} {blüht|#559} {im Frühling|#561}.;;true;true
60;1;Cette {armoire|#614} est en {merisier|#616}.;Dieser {Schrank|#615} ist aus {Kirschholz|#617}.;;true;true
61;1;C'est un {mélange|#636} de {couleurs|#639}.;Das ist eine {Farb|#637}{mischung|#638}.;;true;true
62;1;J'ai acheté un {vase|#640} au {marché aux puces|#642}.;Ich habe eine {Vase|#641} auf dem {Flohmarkt|#643} gekauft.;;true;true
63;1;La {vaisselle|#646} est {propre|#644}.;Das {Geschirr|#647} ist {sauber|#645}.;;true;true
64;1;Quelle est la {marque|#648} de cette voiture ?;Welche {Marke|#649} hat dieses Auto?;;true;true
65;1;Ces chaussures sont {bon marché|#650}.;Diese Schuhe sind {billig|#651}.;;true;true
66;1;C'est {meilleur marché|#652} que chez eux.;Das ist {günstiger|#653} als bei ihnen.;;true;true
67;1;La {TVA|#654} en France est de 20 %.;Die {Mehrwertsteuer|#655} in Frankreich beträgt 20 %.;;true;true
68;1;Il y avait une {pancarte|#656} devant la {boutique|#658}.;Vor dem {Laden|#659} hing ein {Schild|#657}.;;true;true
69;1;J'ai trouvé une vieille {lampe|#661} à la {brocante|#663}.;Ich habe eine alte {Lampe|#660} auf dem {Flohmarkt|#643} gefunden.;;true;true
70;1;Le {village|#664} organise un {vide-greniers|#666} dimanche.;Das {Dorf|#665} organisiert am Sonntag einen {Flohmarkt|#643}.;;true;true
71;1;Dès que j’arrive, je t’appelle.;Sobald ich ankomme, rufe ich dich an.;;true;false
72;1;Son {regard|#718} {s'illumine|#720} quand il {parle de|#721} musique.;Sein {Blick|#717} {hellt sich auf|#719}, wenn er {über|#722} Musik {spricht|#722}.;;true;true
73;1;Ses {yeux|#723} {brillent|#162} de {joie|#208}.;Seine {Augen|#724} {glänzen|#725} vor {Freude|#210}.;;true;false
74;1;Elle écrit {fiévreusement|#728} dans son {carnet|#731}.;Sie schreibt {fieberhaft|#729} in ihr {Notizbuch|#730}.;;true;false
75;1;C'est un {souvenir|#36} {lointain|#765} de mon {enfance|#764}.;Das ist eine {ferne|#766} {Erinnerung|#767} aus meiner {Kindheit|#768}.;;true;false
76;1;Cette {chaise|#771} est une belle {trouvaille|#770}.;Dieser {Stuhl|#772} ist ein schönes {Fundstück|#769}.;;true;false
77;1;Nous allons {faire la route|#782} {ensemble|#780}.;Wir werden {die Strecke|#783} {gemeinsam|#781} {fahren|#783}.;;true;false
78;1;Ils partent {avant même que|#800} le {soleil|#802} ne {se lève|#804}.;Sie brechen auf, {noch bevor|#801} die {Sonne|#803} {aufgeht|#805}.;;true;false
79;1;Elle {emporte|#808} toujours un {cabas en toile|#807} au marché.;Sie {bringt|#33} immer eine {Stofftasche|#806} {mit|#33} zum Markt.;;true;false
80;1;J'ai pris un {thermos|#818} de café.;Ich habe eine {Thermoskanne|#819} Kaffee mitgenommen.;;true;false
81;1;Il a payé avec un {billet|#820} de 20 euros.;Er hat mit einem 20-Euro-{Geldschein|#821} bezahlt.;;true;false
82;1;Le {ticket de caisse|#824} indique le {lieu d'achat|#822}.;Der {Kassenzettel|#825} zeigt den {Kaufort|#823}.;;true;false
83;1;Ils habitent à la {périphérie de la ville|#826}.;Sie wohnen am {Stadtrand|#827}.;;true;false
84;1;Le marché est devenu un vrai {phénomène|#828} {culturel|#830}.;Der Markt ist zu einem echten {kulturellen|#831} {Phänomen|#829} geworden.;;true;false
85;1;La {nouvelle|#835} s'est rapidement {répandue|#832}.;Die {Nachricht|#834} hat sich schnell {verbreitet|#833}.;;true;false
86;1;Des {milliers|#882} de personnes visitent le {marché|#46}.;{Tausende|#883} Menschen besuchen den {Markt|#41}.;;true;false
87;1;Nous nous retrouvons dans un {coin|#836} {tranquille|#839}.;Wir treffen uns in einer {ruhigen|#838} {Ecke|#837}.;;true;false
88;1;Les enfants {chuchotent|#842} dans la {bibliothèque|#840}.;Die Kinder {flüstern|#843} in der {Bibliothek|#841}.;;true;false
89;1;J'ai une {assiette|#844} {ébréchée|#846}.;Ich habe einen {angeschlagenen|#847} {Teller|#845}.;;true;false
90;1;Il {évoque|#875} souvent ses {voyages|#884}.;Er {erwähnt|#876} oft seine {Reisen|#885}.;;true;false
91;1;Cette maison a une {âme|#878}.;Dieses Haus hat eine {Seele|#877}.;;true;false
92;1;L'{horloge|#886} {sonne|#888} {midi|#890}.;Die {Uhr|#887} {schlägt|#889} {zwölf|#891}.;;true;false
93;1;La {peinture|#879} commence à {se patiner|#880} avec le temps.;Die {Farbe|#637} {bekommt|#881} mit der Zeit {Patina|#881}.;;true;false
94;1;Ce {détail|#892} apporte du {caractère|#894} à la {pièce|#896}.;Dieses {Detail|#893} verleiht dem {Raum|#897} {Charakter|#895}.;;true;false
95;1;On {plaisante|#898} toujours avec lui.;Mit ihm {scherzt|#899} man immer.;;true;false
96;1;Elle {négocie|#132} avec {ferveur|#900} sur le marché.;Sie {handelt|#902} {leidenschaftlich|#901} auf dem Markt.;;true;false
97;1;Les {vendeurs|#903} partagent volontiers des {anecdotes|#905} sur leurs {trésors|#907}.;Die {Verkäufer|#904} erzählen gerne {Anekdoten|#906} über ihre {Schätze|#908}.;;true;false
98;1;La {convivialité|#270} est {au cœur de|#271} cet {événement|#272}.;Die {Geselligkeit|#267} {steht im Mittelpunkt|#268} dieser {Veranstaltung|#269}.;;true;true
99;1;Le temps semble {suspendu|#1147} {au fil des|#274} {conversations|#273}.;Die Zeit scheint {während|#276} der {Gespräche|#277} {stillzustehen|#1146}.;;true;false
100;1;J'ai ressenti un {frisson|#207} de {joie|#208}.;Ich habe ein {Kribbeln|#209} vor {Freude|#210} gespürt.;;true;true
101;1;Elle {s'assoit sur|#204} une chaise en {rotin|#205}.;Sie {setzt sich auf|#174} einen Stuhl aus {Rattan|#206}.;;true;true
102;1;J'ai {souri|#112} {malgré moi|#113}.;Ich habe {unwillkürlich|#114} {gelächelt|#137}.;;true;true
103;1;{Peu à peu|#133}, une {passion|#135} m'a gagnée.;{Nach und nach|#134} hat mich eine {Leidenschaft|#136} ergriffen.;;true;true
104;1;Elle est {rayonnante|#128} de {bonheur|#129}.;Sie {strahlt|#138} vor {Glück|#139}.;;true;true
105;1;Il a {cédé|#115} à la {tentation|#117} d'acheter ce {tableau|#119}.;Er ist der {Versuchung|#118} {erlegen|#116}, das {Bild|#120} zu kaufen.;;true;true
106;1;Le {paysage|#68} est {embrumé|#71} ce matin.;Die {Landschaft|#72} ist heute Morgen {neblig|#73}.;;true;true
107;1;J'ai perdu mon {portefeuille|#69}.;Ich habe meine {Brieftasche|#70} verloren.;;true;true
