lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
1;1;verbe;s'inscrire;;;Je vais m'inscrire à un cours de français.;sich anmelden;;Ich melde mich zu einem Französischkurs an.
1;2;nom;manifestation;f.;FALSCH;Il y avait une manifestation dans la rue principale.;Demonstration;f.;In der Hauptstraße gab es eine Demonstration.
1;3;verbe;désinfecter qc.;;FALSCH;Il faut désinfecter la plaie.;etw. desinfizieren;;Man muss die Wunde desinfizieren.
1;4;nom;frigidaire;m.;FALSCH;Le frigidaire est plein de légumes.;Kühlschrank;m.;Der Kühlschrank ist voller Gemüse.
1;5;nom;camping;m.;FALSCH;Nous faisons du camping près du lac.;Campen;n.;Wir machen Camping am See.
1;6;nom;sac de couchage;m.;FALSCH;J’ai oublié mon sac de couchage.;Schlafsack;m.;Ich habe meinen Schlafsack vergessen.
1;7;adjectif;viticole;;;C’est une région viticole.;weinbau-;;Das ist eine Weinbauregion.
1;8;verbe;faire des randonnées;;;Nous aimons faire des randonnées en montagne.;wandern;;Wir gehen gern in den Bergen wandern.
1;9;verbe;randonner;;;On peut randonner dans le parc naturel.;wandern;;Man kann im Naturpark wandern.
1;10;nom;dénivelé;m.;FALSCH;Au cours de leur randonnée, ils ont parcouru un bon nombre de mètres de dénivelé.;Höhenunterschied;m.;Während ihrer Wanderung haben sie ordentlich Höhenmeter gemacht.
1;11;nom;chapelle;f.;FALSCH;Nous avons visité une petite chapelle.;Kapelle;f.;Wir haben eine kleine Kapelle besichtigt.
1;12;expression;en Bavière;;;J’habite en Bavière.;in Bayern;;Ich wohne in Bayern.
1;13;nom;station thermale;f.;FALSCH;Cette ville est une station thermale célèbre.;Kurort;m.;Diese Stadt ist ein bekannter Kurort.
1;14;verbe;aller en cure;;;Ma grand-mère est allée en cure.;zur Kur fahren;;Meine Oma ist zur Kur gefahren.
1;15;adjectif;crevant;;;Le voyage était crevant.;erschöpfend;;Die Reise war anstrengend/erschöpfend.
1;16;adjectif;fatiguant;;;C’est un travail très fatiguant.;ermüdend;;Das ist eine sehr ermüdende Arbeit.
1;17;adjectif;dur;;;L’examen était très dur.;schwer, hart;;Die Prüfung war sehr schwer.
1;18;nom;rôle;m.;FALSCH;Il a joué un rôle important.;Rolle;f.;Er hat eine wichtige Rolle gespielt.
1;19;adjectif;dégoûtant;;;Ce repas est dégoûtant.;ekelhaft;;Dieses Essen ist ekelhaft.
1;20;nom;colline;f.;FALSCH;La maison est sur une colline.;Hügel;m.;Das Haus liegt auf einem Hügel.
1;21;nom;sacoche;f.;FALSCH;Il porte une sacoche en cuir.;Umhängetasche;f.;Er trägt eine Ledertasche.
1;22;nom;bagages;m. pl.;FALSCH;J’ai perdu mes bagages à l’aéroport.;Gepäck;n.;Ich habe mein Gepäck am Flughafen verloren.
1;23;verbe;pousser (un vélo);;;Il a dû pousser son vélo en montée.;(ein Fahrrad) schieben;;Er musste sein Rad bergauf schieben.
1;24;verbe;rouler;;;La voiture roule vite.;fahren;;Das Auto fährt schnell.
1;25;nom;frein;m.;FALSCH;Le frein de mon vélo ne marche pas.;Bremse;f.;Meine Fahrradbremse funktioniert nicht.
1;26;nom;casque;m.;FALSCH;Il faut porter un casque à vélo.;Helm;m.;Beim Radfahren muss man einen Helm tragen.
1;27;nom;casquette;f.;FALSCH;Il porte une casquette bleue.;Kappe;f.;Er trägt eine blaue Kappe.
1;28;adjectif;lourd;;;Ce sac est très lourd.;schwer;;Diese Tasche ist sehr schwer.
1;29;adjectif;léger;;;Ce tissu est très léger.;leicht;;Dieser Stoff ist sehr leicht.
1;30;nom;borne;f.;FALSCH;Nous avons trouvé une borne kilométrique.;Kilometerstein;m.;Wir haben einen Kilometerstein gefunden.
1;31;nom;aménagement;m.;WAHR;Les aménagements du parc sont modernes.;Anlage;f.;Die Anlagen des Parks sind modern.
1;32;nom;estuaire;m.;WAHR;L’estuaire de la Loire est magnifique.;Mündung;f.;Die Mündung der Loire ist wunderschön.
1;33;expression;en Grèce;;;Je vais en Grèce cet été.;in Griechenland;;Ich fahre diesen Sommer nach Griechenland.
1;34;adjectif;grec/grecque;;;Elle est grecque.;griechisch;;Sie ist Griechin.
1;35;nom;mer Baltique;f.;FALSCH;Nous passons nos vacances à la mer Baltique.;Ostsee;f.;Wir machen Urlaub an der Ostsee.
1;36;expression;être en rénovation;;;Le musée est en rénovation.;renoviert werden;;Das Museum wird gerade renoviert.
1;37;nom;marzipan;f.;FALSCH;La pâte de marzipan est sucrée.;Marzipan;n.;Marzipan ist süß.
